date,ems_calls,tmax,tmin,prcp,hospital_utilization,disaster_flag,heat_risk
2024-01-01,801,59.0,48.0,0.0,,0,True
2024-01-02,671,61.0,48.0,0.31,,0,True
2024-01-03,648,56.0,48.0,0.05,,0,True
2024-01-04,776,61.0,47.0,0.0,,0,True
2024-01-05,726,62.0,50.0,0.0,,0,True
2024-01-06,720,55.0,47.0,0.1,,0,True
2024-01-07,614,55.0,42.0,0.0,,0,True
2024-01-08,814,56.0,44.0,0.0,,0,True
2024-01-09,629,57.0,48.0,0.25,,0,True
2024-01-10,653,56.0,45.0,0.32,,0,True
2024-01-11,701,55.0,43.0,0.0,,0,True
2024-01-12,794,54.0,44.0,0.0,,0,True
2024-01-13,636,55.0,48.0,0.9,,0,True
2024-01-14,709,59.0,49.0,0.02,,0,True
2024-01-15,636,59.0,49.0,0.0,,0,True
2024-01-16,593,57.0,49.0,0.6,,0,True
2024-01-17,722,59.0,51.0,0.02,,0,True
2024-01-18,674,58.0,49.0,0.0,,0,True
2024-01-19,729,56.0,51.0,0.24,,0,True
2024-01-20,529,58.0,53.0,0.19,,0,True
2024-01-21,644,61.0,53.0,0.54,,1,True
2024-01-22,736,59.0,53.0,0.77,,1,True
2024-01-23,625,60.0,52.0,0.0,,1,True
2024-01-24,813,59.0,52.0,0.59,,0,True
2024-01-25,728,60.0,50.0,0.0,,0,True
2024-01-26,642,62.0,52.0,0.0,,0,True
2024-01-27,655,63.0,52.0,0.0,,0,True
2024-01-28,737,68.0,56.0,0.0,,0,True
2024-01-29,777,73.0,53.0,0.0,,0,True
2024-01-30,713,66.0,54.0,0.0,,1,True
2024-01-31,635,60.0,53.0,1.67,,1,True
2024-02-01,589,60.0,49.0,1.07,,1,True
2024-02-02,672,58.0,49.0,0.22,,1,True
2024-02-03,625,55.0,48.0,0.41,,1,True
2024-02-04,625,61.0,47.0,1.31,,1,True
2024-02-05,645,57.0,50.0,0.3,,1,True
2024-02-06,725,57.0,47.0,0.0,,1,True
2024-02-07,635,53.0,48.0,0.45,,1,True
2024-02-08,753,55.0,43.0,0.0,,1,True
2024-02-09,704,57.0,45.0,0.0,,1,True
2024-02-10,776,62.0,47.0,0.0,,0,True
2024-02-11,712,59.0,48.0,0.0,,0,True
2024-02-12,830,60.0,47.0,0.0,,0,True
2024-02-13,680,58.0,49.0,0.0,,0,True
2024-02-14,607,58.0,51.0,0.25,,0,True
2024-02-15,730,59.0,51.0,0.0,,0,True
2024-02-16,747,60.0,52.0,0.0,,0,True
2024-02-17,665,58.0,53.0,0.3,,0,True
2024-02-18,544,64.0,51.0,0.22,,0,True
2024-02-19,568,62.0,53.0,0.12,,0,True
2024-02-20,688,58.0,51.0,1.5,,0,True
2024-02-21,608,60.0,48.0,0.02,,0,True
2024-02-22,734,61.0,50.0,0.0,,0,True
2024-02-23,785,66.0,50.0,0.0,,0,True
2024-02-24,853,71.0,53.0,0.0,,0,True
2024-02-25,622,63.0,53.0,0.0,,0,True
2024-02-26,625,62.0,51.0,0.0,,0,True
2024-02-27,655,61.0,47.0,0.0,,0,True
2024-02-28,709,66.0,48.0,0.0,,0,True
2024-02-29,578,59.0,51.0,0.1,,0,True
2024-03-01,693,57.0,49.0,1.17,,0,True
2024-03-02,666,54.0,44.0,0.35,,0,True
2024-03-03,638,55.0,45.0,0.17,,0,True
2024-03-04,682,58.0,46.0,0.14,,0,True
2024-03-05,615,60.0,49.0,0.02,,0,True
2024-03-06,688,57.0,50.0,0.07,,0,True
2024-03-07,685,60.0,49.0,0.0,,0,True
2024-03-08,688,65.0,47.0,0.0,,0,True
2024-03-09,690,60.0,51.0,0.0,,0,True
2024-03-10,717,62.0,52.0,0.11,,0,True
2024-03-11,708,59.0,48.0,0.13,,0,True
2024-03-12,659,60.0,50.0,0.38,,0,True
2024-03-13,736,61.0,48.0,0.0,,0,True
2024-03-14,785,68.0,57.0,0.0,,0,True
2024-03-15,670,73.0,60.0,0.0,,0,True
2024-03-16,762,67.0,53.0,0.0,,0,True
2024-03-17,724,61.0,49.0,0.0,,0,True
2024-03-18,697,60.0,51.0,0.0,,0,True
2024-03-19,763,60.0,50.0,0.0,,0,True
2024-03-20,713,60.0,49.0,0.0,,0,True
2024-03-21,676,65.0,52.0,0.0,,0,True
2024-03-22,716,65.0,51.0,0.48,,0,True
2024-03-23,641,59.0,51.0,0.12,,0,True
2024-03-24,611,58.0,49.0,0.07,,0,True
2024-03-25,644,57.0,50.0,0.0,,0,True
2024-03-26,718,60.0,49.0,0.0,,0,True
2024-03-27,537,59.0,51.0,0.2,,0,True
2024-03-28,676,61.0,51.0,0.0,,0,True
2024-03-29,668,53.0,49.0,0.55,,0,True
2024-03-30,675,62.0,49.0,0.04,,0,True
2024-03-31,689,62.0,51.0,0.0,,0,True
2024-04-01,679,,,,,0,False
2024-04-02,627,,,,,0,False
2024-04-03,654,,,,,0,False
2024-04-04,581,,,,,0,False
2024-04-05,821,,,,,0,False
2024-04-06,783,,,,,0,False
2024-04-07,568,,,,,0,False
2024-04-08,786,,,,,0,False
2024-04-09,672,,,,,0,False
2024-04-10,751,,,,,0,False
2024-04-11,664,,,,,0,False
2024-04-12,633,,,,,0,False
2024-04-13,623,,,,,0,False
2024-04-14,602,,,,,0,False
2024-04-15,603,,,,,0,False
2024-04-16,683,,,,,0,False
2024-04-17,688,,,,,0,False
2024-04-18,582,,,,,0,False
2024-04-19,669,,,,,0,False
2024-04-20,704,,,,,0,False
2024-04-21,674,,,,,0,False
2024-04-22,707,,,,,0,False
2024-04-23,681,,,,,0,False
2024-04-24,689,,,,,0,False
2024-04-25,714,,,,,0,False
2024-04-26,616,,,,,0,False
2024-04-27,646,,,,,0,False
2024-04-28,692,,,,,0,False
2024-04-29,591,,,,,0,False
2024-04-30,633,63.0,48.0,0.0,,0,True
2024-05-01,666,68.0,49.0,0.0,,0,True
2024-05-02,707,65.0,52.0,0.0,,0,True
2024-05-03,629,68.0,50.0,0.0,,0,True
2024-05-04,627,55.0,47.0,0.94,,0,True
2024-05-05,657,57.0,47.0,0.0,,0,True
2024-05-06,724,60.0,48.0,0.0,,0,True
2024-05-07,672,64.0,49.0,0.0,,0,True
2024-05-08,740,78.0,52.0,0.0,,0,True
2024-05-09,727,81.0,54.0,0.0,,0,True
2024-05-10,781,78.0,54.0,0.0,,0,True
2024-05-11,609,66.0,52.0,0.0,,0,True
